3381	attf	attf	m:f#attrI	f#attrI	f_I	attrI
6946	anuBartf	anu-Bartf	m:f#trI:n	f#trI	f_I	anu-BartrI
9896	apahantf	apa-hantf	m:f#trI:n	f#trI	f_I	apa-hantrI
34133	upakartf	upa-kartf	m:f#trI:n	f#trI	f_I	upa-kartrI
35020	upanetf	upa-netf	m:f#trI:n	f#trI	f_I	upa-netrI
55630	ketayitf	ketayitf	m:f#trI:n	f#trI	f_I	ketayitrI
67971	goptf	goptf	m:f#trI:n	f#trI	f_I	goptrI
67972	goptf	goptf	m:f#trI:n	f#trI	f_I	goptrI
74589	codayitf	codayitf	m:f#trI:n	f#trI	f_I	codayitrI
76939	janikartf	jani-kartf	f#trI	f#trI	f_I	jani-kartrI
77585	jayitf	jayitf	m:f#trI:n	f#trI	f_I	jayitrI
80300	jozwf	jozwf	m:f#zwrI:n	f#zwrI	f_I	jozwrI
83750	tARqavayitf	tARqavayitf	m:f#trI:n	f#trI	f_I	tARqavayitrI
85100	tiroBavitf	tiro-Bavitf	m:f#trI:n	f#trI	f_I	tiro-BavitrI
99898	Dartf	Dartf	f#trI	f#trI	f_I	DartrI
100357	Darmahantf	Darma-hantf	m:f#trI:n	f#trI	f_I	Darma-hantrI
106211	nASayitf	nASayitf	m:f#trI:n	f#trI	f_I	nASayitrI
109785	nirmAtf	nir-mAtf	m:f#trI	f#trI	f_I	nir-mAtrI
118593	parivezwf	pari-vezwf	m:f#rI:n	f#rI	f_I	pari-vezwrI
134656	pradAtf	pra-dAtf	f#trI	f#trI	f_I	pra-dAtrI
136660	pralavitf	pra-lavitf	m:f#trI:n	f#trI	f_I	pra-lavitrI
148804	Bartf	Bartf	f#trI	f#trI	f_I	BartrI
149196	Bavitf	Bavitf	m:f#trI:n	f#trI	f_I	BavitrI
151414	Boktf	Boktf	m:f#trI	f#trI	f_I	BoktrI
156772	manayitf	manayitf	m:f#trI:n	f#trI	f_I	manayitrI
157214	manotf	manotf	m:f#A	f#A	f_A	manotA
162494	mAdayitf	mAdayitf	m:f#trI	f#trI	f_I	mAdayitrI
167779	metf	metf	m:f#metA	f#metA	f_A	metA
169540	yazwf	yazwf	m:f#wrI:n	f#wrI	f_I	yazwrI
170295	yantf	yantf	f#yantrI	f#yantrI	f_I	yantrI
171696	yAvayitf	yAvayitf	m:f#trI:n	f#trI	f_I	yAvayitrI
174873	rabDf	rabDf	m:f#rI:n	f#rI	f_I	rabDrI
187774	varDayitf	varDayitf	m:f#I	f#I	f_I	varDayitrI
196502	viDAtf	vi-DAtf	m:f#trI:n	f#trI	f_I	vi-DAtrI
197018	viniyoktf	vi-niyoktf	m:f#trI:n	f#trI	f_I	vi-niyoktrI
198832	vimoktf	vi-moktf	m:f#trI:n	f#trI	f_I	vi-moktrI
206064	veditf	veditf	m:f#trI:n	f#trI	f_I	veditrI
231048	sanutf	sanutf	m:f:f#sanutrI:n	f	f_f	sanutf
231048	sanutf	sanutf	m:f:f#sanutrI:n	f#sanutrI	f_I	sanutrI
231990	saMniDAtf	saM-niDAtf	m:f:f#trI:n	f	f_f	saM-niDAtf
231990	saMniDAtf	saM-niDAtf	m:f:f#trI:n	f#trI	f_I	saM-niDAtrI
232693	saptasvasf	sapta-svasf	m:f#f:n	f#f	f_f	sapta-svasf
235879	samarDayitf	sam-arDayitf	m:f#trI:n	f#trI	f_I	sam-arDayitrI
245547	suketf	su-ketf	m:f#A	f#A	f_A	su-ketA
255414	sTAnadAtf	sTAna-dAtf	m:f#trI:n	f#trI	f_I	sTAna-dAtrI
256365	snehakartf	sneha-kartf	m:f#trI:n	f#trI	f_I	sneha-kartrI
260454	hantf	hantf	m:f#trI:n	f#trI	f_I	hantrI
264482	hotf	hotf	m:f#trI:n	f#trI	f_I	hotrI
